Datacron new Dataset Analysis 
----------------------------- 
Cell size in degrees used: 0.05
Time step size in days: 0.083
Number of top-k displayed: 50
Neighbour Distance: 1
--------------------------------------------------
 
Results: 
----------------------------------------------------------- 
66373,  3645163.0014735237,  
67364,  1072528.2031870554,  
70331,  421234.2046427751,  
67363,  308877.29720667924,  
64389,  223454.87378042954,  
66372,  174721.58532975672,  
69335,  163345.4413149983,  
69341,  144238.65790451533,  
73299,  96070.60822797583,  
66370,  68545.1927724435,  
58443,  62800.50172960836,  
59429,  57951.24786936517,  
65382,  53226.65104516825,  
55474,  52895.501056282075,  
68355,  50437.568811186255,  
66371,  49769.55935084664,  
68350,  49281.39859136781,  
59434,  47353.49664457562,  
67359,  45695.84353928844,  
64386,  45618.765524633855,  
77264,  43811.71429217672,  
62404,  40468.812249195114,  
63395,  40229.013981380966,  
66368,  39315.49677066008,  
61412,  38981.49204049025,  
69340,  38616.0851562019,  
64390,  37331.45157862573,  
61411,  35844.13136992082,  
61414,  35230.36199396783,  
65377,  34331.1184896645,  
70332,  31316.51169428566,  
68351,  29969.073808472487,  
57455,  29920.543206652932,  
63398,  28975.623841813536,  
65381,  27442.627772572647,  
62403,  25915.34118589874,  
67354,  25858.2463602287,  
63399,  25401.487754868293,  
63393,  25197.849543311728,  
60425,  24170.142681250825,  
60427,  23568.743850859642,  
61416,  23440.280493101956,  
59430,  21102.247381913337,  
65380,  20205.85861889351,  
62408,  19649.184068610484,  
62406,  19577.815536522932,  
63394,  19429.368989780804,  
60423,  19035.414692657432,  
62405,  17665.13887657618,  
63397,  17042.805276772615,  
